Cell Line Name,Disease Site,Sex,Age,Derived From Site,"European, South",Native American,African,"East Asian, North","European, North","East Asian, South",South Asian
DND-41,Childhood T acute lymphoblastic leukemia,Male,13Y,Peripheral blood,45.76,0.0,1.28,1.0,46.97,0.0,4.99
DoHH2,Diffuse large B-cell lymphoma germinal center B-cell type,Male,60Y,Pleural effusion,27.92,1.29,0.28,0.0,69.22,0.0,1.29
DOK,Oral epithelial dysplasia,Male,57Y,"Oral cavity, tongue",29.51,0.7,0.41,2.72,66.66,0.0,0.0
DoTc2 4510,Cervical carcinoma,Female,Age unspecified,"Uterus, cervix",25.17,0.72,1.27,2.19,68.76,0.0,1.9
DOV13,Ovarian adenocarcinoma,Female,Age unspecified,Ovary,7.75,0.11,86.88,5.26,0.0,0.0,0.0
DSH1,Bladder carcinoma,Male,48Y,Urinary bladder,0.61,0.0,0.74,71.8,0.0,26.84,0.0
DU145,Prostate carcinoma,Male,69Y,Brain,32.8,0.0,0.75,2.66,63.74,0.0,0.04
DU4475,Breast carcinoma,Female,70Y,Skin,34.04,0.0,0.87,3.81,61.27,0.0,0.0
DV-90,Lung adenocarcinoma,Male,50Y,Pleural effusion,52.26,0.0,0.68,2.16,41.86,0.0,3.04
EB1,EBV-related Burkitt lymphoma,Female,9Y,"Bone, jaw, maxilla",3.27,0.0,94.08,1.53,0.0,0.0,1.12
EB2,EBV-related Burkitt lymphoma,Female,7Y,Ovary,4.8,0.0,92.74,2.43,0.0,0.0,0.02
EB3 [Human Burkitt lymphoma],EBV-related Burkitt lymphoma,Male,3Y,"Bone, jaw, maxilla",9.53,0.51,83.99,5.96,0.0,0.0,0.0
EBC-1,Lung squamous cell carcinoma,Male,69Y,Skin,2.73,0.0,1.01,85.35,0.0,10.91,0.0
EC-GI-10,Esophageal squamous cell carcinoma,Male,65Y,Lymph node,1.02,0.0,2.68,89.75,0.0,5.81,0.73
ECC10,Gastric small cell carcinoma,Male,73Y,Stomach,0.51,0.44,1.3,81.45,0.0,16.3,0.0
ECC12,Gastric small cell carcinoma,Male,63Y,Stomach,0.75,0.33,2.31,84.02,0.0,12.58,0.0
EFE-184,Endometrial carcinoma,Female,69Y,Ascites,38.76,0.31,0.39,1.81,58.73,0.0,0.0
EFM-19,Breast ductal carcinoma,Female,50Y,Pleural effusion,35.58,0.0,1.96,3.54,58.92,0.0,0.0
EFM-192A,Breast carcinoma,Female,46Y,Pleural effusion,29.07,0.0,0.34,2.91,67.61,0.0,0.06
EFO-21,Ovarian serous cystadenocarcinoma,Female,56Y,Ascites,31.61,0.0,1.88,4.99,61.52,0.0,0.0
EFO-27,Ovarian mucinous adenocarcinoma,Female,36Y,Omentum,27.58,0.0,0.18,1.36,70.88,0.0,0.0
EGI-1,Cholangiocarcinoma,Male,52Y,Bile duct,21.59,0.79,0.0,0.0,77.61,0.0,0.0
EHEB,Unknown,Female,69Y,Peripheral blood,27.82,1.03,0.0,0.0,69.25,0.0,1.9
EJM,Plasma cell myeloma,Female,58Y,Ascites,32.01,0.97,0.0,3.05,63.97,0.0,0.0
EKVX,Lung adenocarcinoma,Male,Age unspecified,Unknown,28.8,0.92,0.21,1.76,67.1,0.01,1.21
EM-2,"Childhood chronic myelogenous leukemia, BCR-ABL1 positive",Female,5Y,Bone marrow,28.35,0.0,0.62,2.74,68.28,0.0,0.0
EMC-BAC-1,Lung adenocarcinoma,Male,Age unspecified,Unknown,6.52,0.0,74.47,2.69,3.5,12.82,0.0
EMC-BAC-2,Lung adenocarcinoma,Sex unspecified,Age unspecified,Unknown,26.55,0.0,0.13,1.05,72.26,0.0,0.0
EN,Endometrial carcinoma,Female,50Y,Endometrium,1.18,0.0,0.78,80.75,0.4,16.89,0.0
EoL-1,"Chronic eosinophilic leukemia, not otherwise specified",Male,33Y,Peripheral blood,43.75,0.0,1.14,2.93,52.17,0.0,0.0
EPLC-272H,Lung mucoepidermoid carcinoma,Male,57Y,Unknown,48.24,0.0,7.58,9.18,35.01,0.0,0.0
ES-2,Ovarian clear cell adenocarcinoma,Female,47Y,Ovary,58.83,0.0,2.57,3.68,27.14,0.75,7.03
ES1,Ewing sarcoma,Female,Unknown,Unknown,27.13,0.47,0.83,0.13,70.63,0.0,0.81
ES3,Ewing sarcoma,Male,Unknown,Unknown,32.49,0.0,0.0,0.0,64.94,1.17,1.4
ES4,Ewing sarcoma,Male,Unknown,Unknown,26.22,7.84,1.29,0.0,61.75,1.09,1.81
ES5,Ewing sarcoma,Male,Unknown,Unknown,32.03,0.0,1.1,1.85,64.55,0.0,0.47
ES6,Ewing sarcoma,Male,Unknown,Unknown,29.16,0.0,0.0,0.57,67.61,0.0,2.66
ES7,Ewing sarcoma,Male,Unknown,Unknown,33.1,0.0,1.94,1.71,63.25,0.0,0.0
ES8,Ewing sarcoma,Male,10Y,Unknown,61.04,0.07,1.48,0.25,26.16,1.89,9.11
ESO-26,Gastroesophageal junction adenocarcinoma,Male,56Y,"Esophagus, distal",43.52,0.0,3.22,0.0,50.67,2.45,0.14
ESO-51,Esophageal adenocarcinoma,Male,74Y,"Esophagus, distal",43.9,0.59,3.22,0.0,50.02,1.07,1.19
ESS-1,Endometrioid stromal sarcoma,Female,76Y,Endometrium,31.95,0.0,0.37,1.73,65.49,0.0,0.47
ETK-1,Intrahepatic cholangiocarcinoma,Female,61Y,Ascites,4.05,0.0,3.1,74.88,0.67,17.31,0.0
Evsa-T,Breast carcinoma,Female,58Y,Ascites,67.19,1.1,0.86,2.9,19.45,0.0,8.5
EW-1,Ewing sarcoma,Male,19Y,Pleural effusion,44.3,1.76,0.04,0.0,53.73,0.0,0.17
EW-11,Ewing sarcoma,Female,11Y,Mediastinal lymph node,55.92,0.67,20.84,0.0,15.83,2.32,4.42
EW-12,Ewing sarcoma,Female,Age unspecified,Unknown,53.94,0.0,21.92,2.41,15.31,0.17,6.25
EW-13,Ewing sarcoma,Male,Age unspecified,Unknown,60.76,0.0,18.44,0.58,15.79,2.48,1.96
EW-16,Ewing sarcoma,Male,Age unspecified,Unknown,41.99,1.1,0.19,0.0,55.49,0.45,0.79
EW-18,Ewing sarcoma,Sex unspecified,Age unspecified,Unknown,30.15,0.97,0.0,0.41,68.25,0.0,0.22
EW-22,Ewing sarcoma,Sex unspecified,Age unspecified,Unknown,37.61,0.0,0.31,0.0,60.63,0.0,1.44
EW-24,Ewing sarcoma,Sex unspecified,Age unspecified,Unknown,38.28,0.0,0.0,0.0,60.48,1.24,0.0
EW-3,Ewing sarcoma,Male,14Y,Pleural effusion,45.2,0.33,0.0,0.83,47.05,0.4,6.18
EW-7,Ewing sarcoma,Female,20Y,Pleural effusion,38.66,0.0,0.24,0.0,57.71,0.0,3.39
EW-8,Ewing sarcoma,Male,Age unspecified,Bone marrow,32.38,0.0,0.0,1.08,66.53,0.0,0.0
EWS-502,Ewing sarcoma,Sex unspecified,Age unspecified,Unknown,51.14,0.0,5.9,4.68,38.28,0.0,0.0
F-36P,Myelodysplastic syndrome,Male,68Y,Pleural effusion,1.5,0.0,1.61,78.68,0.0,18.21,0.0
F5,Meningioma,Sex unspecified,Age unspecified,Unknown,33.25,0.0,2.76,3.58,60.4,0.0,0.0
FaDu,Hypopharyngeal squamous cell carcinoma,Male,56Y,"Pharynx, hypopharynx",7.42,0.0,2.06,11.01,0.0,0.0,79.51
Farage,Diffuse large B-cell lymphoma germinal center B-cell type,Female,70Y,Lymph node,60.11,0.0,2.2,0.0,23.94,1.9,11.86
FLO-1,Barrett adenocarcinoma,Male,68Y,Esophagus,27.15,0.21,0.63,0.0,71.2,0.68,0.12
FTC-133,Thyroid gland follicular carcinoma,Male,42Y,Thyroid gland,36.26,1.18,1.29,4.32,56.94,0.0,0.0
FTC-238,Thyroid gland follicular carcinoma,Male,42Y,Lung,33.42,2.05,1.72,2.0,60.8,0.0,0.0
FU-OV-1,High grade ovarian serous adenocarcinoma,Female,65Y,Ovary,2.06,0.66,0.0,78.56,0.0,18.72,0.0
Fu97,Gastric adenocarcinoma,Female,66Y,Stomach,0.0,0.0,0.0,80.85,0.0,19.14,0.0
G-292 clone A141B1,Osteosarcoma,Female,9Y,Bone,42.1,0.0,1.61,5.38,50.9,0.0,0.0
G-361,Melanoma,Male,31Y,Skin,28.21,0.03,0.0,1.43,70.33,0.0,0.0
G-401,Rhabdoid tumor of the kidney,Male,3M,Kidney,56.23,0.75,2.48,2.12,29.24,0.55,8.63
G-402,Kidney neoplasm,Female,9M,Kidney,18.54,0.17,32.1,0.64,46.83,0.0,1.72
G-mel,Cutaneous melanoma,Male,Unknown,Unknown,29.66,0.58,0.75,2.61,66.24,0.16,0.0
GA-10,Adult Burkitt leukemia,Male,41Y,Peripheral blood,28.14,0.0,1.05,0.0,68.9,0.44,1.46
GAK,Vulvar melanoma,Female,86Y,Inguinal lymph node,0.0,0.0,0.0,77.89,0.0,22.1,0.0
GaMG,Glioblastoma,Female,42Y,Brain,27.05,0.0,0.0,1.47,71.47,0.0,0.0
GB-1,Glioblastoma,Male,35Y,Brain,1.34,1.07,0.0,80.28,0.0,17.3,0.0
GCIY,Gastric adenocarcinoma,Female,39Y,Ascites,0.0,0.43,0.08,86.12,0.0,13.37,0.0
GCT,Undifferentiated pleomorphic sarcoma,Male,29Y,Pleural effusion,32.51,0.0,0.07,2.31,63.83,0.0,1.28
GDM-1,Adult acute myeloid leukemia,Female,66Y,Peripheral blood,58.5,1.16,1.71,0.0,27.3,2.32,9.02
GEO,Colon carcinoma,Sex unspecified,Age unspecified,Colon,14.94,2.66,61.65,1.33,19.42,0.0,0.0
GI-1,Gliosarcoma,Male,61Y,"Brain, left fronto-parietal lobe",0.24,0.0,0.0,78.75,0.0,20.38,0.63
GI-ME-N,Neuroblastoma,Female,3Y6M,Bone marrow,55.82,0.42,1.35,0.23,34.54,0.0,7.63
GLC-82,Human papillomavirus-related cervical adenocarcinoma,Female,30Y6M,"Uterus, cervix",14.1,1.23,66.32,2.62,15.73,0.0,0.0
GMS-10,Glioblastoma,Male,49Y,Brain,25.49,0.0,0.11,3.91,70.41,0.0,0.08
GOS-3,Glioblastoma,Male,54Y,"Brain, temporal lobe",20.9,0.0,1.06,2.96,75.07,0.0,0.0
GOTO,Adrenal gland neuroblastoma,Male,1Y1M,Adrenal gland,0.0,0.0,0.0,74.22,0.0,25.78,0.0
GP2d,Colon adenocarcinoma,Female,71Y,Colon,24.97,0.0,0.0,0.09,74.93,0.0,0.0
GP5d,Colon adenocarcinoma,Female,71Y,Colon,24.54,0.0,0.0,0.21,75.24,0.0,0.0
GR-M,Pancreatic adenocarcinoma,Male,Age unspecified,Pancreas,0.0,0.0,0.0,83.55,0.0,15.04,1.41
GR-ST,Childhood B acute lymphoblastic leukemia,Male,11Y,Peripheral blood,0.0,0.0,0.0,74.6,0.0,25.39,0.0
Granta-519,Mantle cell lymphoma,Female,58Y,Peripheral blood,30.67,0.0,1.28,1.9,66.14,0.0,0.0
GSS,Gastric carcinoma,Male,75Y,Liver,4.73,0.0,6.73,81.61,0.0,6.93,0.0
GSU,Gastric carcinoma,Male,37Y,Ascites,0.0,0.03,0.31,77.2,0.34,22.13,0.0
GT3TKB,Lung squamous cell carcinoma,Male,Age unspecified,Pleural effusion,0.0,0.0,0.0,89.7,0.87,9.37,0.05
H-EMC-SS,Extraskeletal myxoid chondrosarcoma,Female,77Y,Muscle,1.42,0.67,0.61,77.11,0.01,20.07,0.1
H4,Astrocytoma,Male,37Y,Brain,29.66,1.32,0.0,0.97,68.05,0.0,0.0
H9,Sezary syndrome,Male,53Y,Peripheral blood,26.72,1.41,4.91,5.59,61.37,0.0,0.0
HA7-RCC,Renal cell carcinoma,Male,Age unspecified,Unknown,22.26,0.85,0.05,0.0,74.38,0.47,1.99
HAL-01,B acute lymphoblastic leukemia with TCF3-HLF rearrangement,Female,17Y,Peripheral blood,1.33,0.89,0.0,78.59,0.0,19.2,0.0
HARA [Human squamous cell lung carcinoma],Lung squamous cell carcinoma,Male,57Y,Pleural effusion,0.21,0.0,0.26,78.38,0.0,20.35,0.8
HC-1,Hairy cell leukemia,Male,56Y,Peripheral blood,28.43,0.0,0.0,0.03,70.39,0.0,1.15
HCC-56,Gastric tubular adenocarcinoma,Male,76Y,Ascites,4.49,0.0,3.92,80.09,0.0,11.5,0.0
HCC1143,Breast ductal carcinoma,Female,52Y,Breast,35.48,0.04,1.22,3.69,59.57,0.0,0.0
HCC1171,Lung adenocarcinoma,Male,58Y,Lung,32.21,0.0,1.8,0.4,65.59,0.0,0.0
HCC1187,Breast ductal carcinoma,Female,41Y,Breast,32.34,0.0,1.83,3.32,62.5,0.0,0.0
HCC1195,Lung adenosquamous carcinoma,Male,47Y,Lung,18.66,0.0,70.13,4.8,6.41,0.0,0.0
HCC1359,Lung giant cell carcinoma,Female,55Y,Lung,9.72,0.0,86.21,3.0,1.07,0.0,0.0
HCC1395,Breast ductal carcinoma,Female,43Y,Breast,32.96,0.0,2.0,1.43,62.97,0.0,0.64
HCC1419,Breast ductal carcinoma,Female,42Y,Breast,32.48,36.71,5.31,7.6,17.9,0.0,0.0
HCC1428,Breast adenocarcinoma,Female,49Y,Pleural effusion,40.96,0.0,3.84,5.45,49.75,0.0,0.0
HCC15,Lung squamous cell carcinoma,Male,47Y,Lung,15.71,0.0,76.99,7.3,0.0,0.0,0.0
HCC1500,Breast ductal carcinoma,Female,32Y,Breast,16.94,1.42,75.35,6.28,0.0,0.0,0.0
HCC1569,Breast ductal carcinoma,Female,70Y,Breast,12.74,0.0,80.08,2.86,4.32,0.0,0.0
HCC1599,Breast ductal carcinoma,Female,44Y,Breast,41.85,0.18,4.77,6.87,46.32,0.0,0.0
HCC1806,"Breast squamous cell carcinoma, acantholytic variant",Female,60Y,Breast,8.72,0.0,80.71,3.77,6.8,0.0,0.0
HCC1897,Lung squamous cell carcinoma,Male,47Y,Unknown,15.76,1.11,77.47,4.48,1.19,0.0,0.0
HCC1937,Breast ductal carcinoma,Female,24Y,Breast,34.11,0.0,2.19,5.95,57.75,0.0,0.0
HCC1954,Breast ductal carcinoma,Female,61Y,Breast,12.74,0.0,0.47,5.83,2.65,0.0,78.3
HCC202,Breast ductal carcinoma,Female,82Y,Breast,35.61,0.0,2.66,3.54,58.19,0.0,0.0
HCC2157,Breast ductal carcinoma,Female,48Y,Breast,7.78,0.0,87.84,4.38,0.0,0.0,0.0
HCC2218,Breast ductal carcinoma,Female,38Y,Breast,39.75,0.0,1.2,1.97,55.07,0.0,2.0
HCC2279,Lung adenosquamous carcinoma,Female,52Y,Lung,9.04,0.0,4.25,46.33,0.0,40.38,0.0
HCC2814,Lung squamous cell carcinoma,Male,55Y,Unknown,38.17,0.0,1.59,5.79,54.45,0.0,0.0
HCC2935,Lung adenocarcinoma,Male,39Y,Unknown,37.21,0.03,3.09,3.93,54.96,0.0,0.78
HCC2998,Colon adenocarcinoma,Sex unspecified,Age unspecified,Unknown,53.15,0.0,1.41,0.0,35.72,1.46,8.24
HCC33,Lung small cell carcinoma,Male,52Y,Pleural effusion,33.69,0.0,2.5,2.1,61.5,0.0,0.21
HCC364,Lung adenocarcinoma,Male,76Y,Unknown,64.04,0.31,2.01,6.71,21.75,0.0,5.19
HCC366,Lung adenosquamous carcinoma,Female,80Y,Lung,32.8,0.77,1.18,2.6,62.65,0.0,0.0
HCC38,Breast ductal carcinoma,Female,50Y,Breast,34.34,0.0,1.51,2.67,60.89,0.0,0.58
HCC4006,Lung adenocarcinoma,Male,>50Y,Pleural effusion,38.54,0.0,1.52,5.13,54.8,0.0,0.0
HCC44,Lung adenocarcinoma,Female,54Y,Lung,35.99,0.0,0.0,2.25,61.76,0.0,0.0
HCC70,Breast ductal carcinoma,Female,49Y,Breast,20.07,0.0,70.85,5.47,3.61,0.0,0.0
HCC78,Lung adenocarcinoma,Male,65Y,Pleural effusion,30.25,0.1,0.0,0.0,67.1,0.13,2.41
HCC827,Lung adenocarcinoma,Female,39Y,Lung,67.96,0.39,1.62,3.47,19.48,0.0,7.09
HCC95,Lung squamous cell carcinoma,Male,65Y,Pleural effusion,33.13,0.36,0.18,1.64,62.63,0.0,2.05
HCE-4,Esophageal squamous cell carcinoma,Female,50Y,Esophagus,4.77,0.0,93.38,0.25,1.6,0.0,0.0
HCT 116,Colon carcinoma,Male,48Y,Colon,32.93,0.08,0.0,1.16,64.85,0.0,0.97
HCT 15,Colon adenocarcinoma,Male,67Y,Colon,42.32,0.0,2.68,5.84,49.17,0.0,0.0
HD-MY-Z,Adult acute myeloid leukemia,Male,29Y,Pleural effusion,28.77,0.0,0.65,4.15,66.43,0.0,0.0
HDLM-2,Hodgkin lymphoma,Male,74Y,Pleural effusion,35.08,0.0,1.09,1.64,62.14,0.0,0.05
HDQ-P1,Breast ductal carcinoma,Female,50Y,Breast,41.35,0.0,1.07,3.35,51.89,0.0,2.35
HEC-1,Endometrial adenocarcinoma,Female,71Y,Endometrium,0.0,0.0,0.0,89.14,0.0,10.41,0.45
HEC-1-A,Endometrial adenocarcinoma,Female,71Y,Endometrium,0.0,1.14,0.0,91.32,0.49,6.71,0.34
HEC-1-B,Endometrial adenocarcinoma,Female,71Y,Endometrium,0.0,0.76,0.0,92.48,0.0,6.76,0.0
HEC-108,Endometrial adenocarcinoma,Female,Age unspecified,Endometrium,0.0,0.0,0.0,78.21,0.0,21.79,0.0
HEC-151,Endometrial adenocarcinoma,Female,Age unspecified,Endometrium,0.0,0.66,0.0,76.07,0.0,23.27,0.0
HEC-251,Endometrial carcinoma,Female,53Y,Endometrium,0.0,0.73,0.0,78.55,0.0,20.72,0.0
HEC-265,Endometrial adenocarcinoma,Female,59Y,Endometrium,0.0,0.0,0.0,72.25,0.0,27.75,0.0
HEC-50B,Endometrial adenocarcinoma,Female,Age unspecified,Ascites,1.9,0.0,0.78,83.13,0.0,14.2,0.0
HEC-59,Endometrial adenocarcinoma,Female,Age unspecified,Endometrium,1.25,0.09,1.33,79.33,0.0,17.72,0.28
HEC-6,"Endometrial endometrioid adenocarcinoma, variant with squamous differentiation",Female,48Y,Endometrium,0.94,0.0,0.0,75.17,0.0,23.89,0.0
HEL,Erythroleukemia,Male,30Y,Peripheral blood,73.45,1.79,2.4,3.9,13.33,0.0,5.12
HEL 92.1.7,Erythroleukemia,Male,30Y,Peripheral blood,72.21,2.04,0.0,1.78,17.09,0.21,6.68
HeLa,Human papillomavirus-related cervical adenocarcinoma,Female,30Y6M,"Uterus, cervix",12.78,0.77,64.74,2.26,19.45,0.0,0.0
Hep 3B2.1-7,Childhood hepatocellular carcinoma,Male,8Y,Liver,15.69,0.52,71.82,3.16,8.8,0.0,0.0
Hep-G2,Hepatoblastoma,Male,15Y,Liver,48.99,20.88,2.83,4.48,22.82,0.0,0.0
Hep-G2/C3A,Hepatoblastoma,Male,15Y,Liver,47.02,22.36,1.61,0.85,26.42,1.57,0.18
HEY,High grade ovarian serous adenocarcinoma,Female,Age unspecified,Ovary,30.59,0.22,0.88,0.66,67.37,0.27,0.0
HEY A8,High grade ovarian serous adenocarcinoma,Female,Age unspecified,Ovary,33.46,0.0,1.54,2.65,62.34,0.0,0.0
HGC-27,Gastric carcinoma,Sex unspecified,Age unspecified,Lymph node,0.7,0.0,0.0,77.61,0.0,21.46,0.22
HH [Human lymphoma],Primary cutaneous T-cell non-Hodgkin lymphoma,Male,61Y,Peripheral blood,32.82,0.0,2.42,3.69,61.06,0.0,0.0
HK-2 [Human kidney],Unknown,Male,Adult,"Kidney, proximal tubule",29.92,0.0,3.63,3.68,62.77,0.0,0.0
HL-60,Adult acute myeloid leukemia,Female,36Y,Peripheral blood,26.32,0.42,1.15,0.4,71.71,0.0,0.0
HLC-1,Lung adenocarcinoma,Sex unspecified,Age unspecified,Pleural effusion,2.02,0.0,4.37,90.08,0.0,3.53,0.0
HLE,Adult hepatocellular carcinoma,Male,68Y,Liver,3.89,0.0,1.86,85.81,0.0,8.43,0.0
HLF,Adult hepatocellular carcinoma,Male,68Y,Liver,0.0,0.0,0.0,85.67,0.0,14.33,0.0
HLF-a,Unknown,Female,54Y,Lung,5.07,0.0,90.86,2.07,1.99,0.0,0.0
HMC-1-8,Breast carcinoma,Female,35Y,Pleural effusion,0.0,0.0,0.0,83.08,0.0,16.92,0.0
HMCB,Melanoma,Female,Unknown,Unknown,33.99,0.0,0.21,1.87,63.92,0.0,0.0
HMEL,Unknown,Female,Unknown,Breast,10.33,1.37,74.68,1.09,12.54,0.0,0.0
HMV-II,Vaginal melanoma,Female,65Y,Vagina,0.36,0.0,0.4,76.31,0.78,21.9,0.25
HN,Oral cavity squamous cell carcinoma,Male,60Y,Cervical lymph node,1.57,0.0,0.89,79.15,0.0,18.39,0.0
HNT-34,Adult acute myeloid leukemia,Female,47Y,Peripheral blood,3.91,0.0,1.86,80.82,0.0,13.41,0.0
HO-1-N-1,Buccal mucosa squamous cell carcinoma,Male,Age unspecified,Unknown,0.0,0.0,0.0,77.94,1.04,20.55,0.47
HO-1-u-1,Floor of mouth squamous cell carcinoma,Male,72Y,"Salivary gland, sublingual gland",0.0,0.0,1.54,76.45,1.61,19.98,0.41
HOP-62,Lung adenocarcinoma,Female,60Y,Lung,33.3,0.13,0.83,2.13,63.51,0.0,0.11
HOP-92,Lung non-small cell carcinoma,Male,62Y,Lung,24.16,0.0,0.37,1.34,74.13,0.0,0.0
HOS,Osteosarcoma,Female,13Y,"Bone, right femur",59.79,0.0,0.0,1.17,0.0,3.52,35.51
HPAC,Pancreatic adenocarcinoma,Female,64Y,Pancreas,34.47,0.7,0.23,2.44,62.15,0.0,0.0
HPAF-II,Pancreatic ductal adenocarcinoma,Male,44Y,Ascites,33.49,0.23,0.96,0.7,64.61,0.0,0.0
HPB-ALL,Childhood T acute lymphoblastic leukemia,Male,14Y,Peripheral blood,0.0,0.0,0.0,78.04,0.0,20.81,1.14
HRT-18,Colon adenocarcinoma,Male,67Y,Colon,32.91,0.15,0.0,0.34,63.7,1.05,1.84
Hs 172.T,Unknown,Male,50Y,Urinary bladder,29.31,0.85,0.56,1.69,67.59,0.0,0.0
Hs 229.T,Unknown,Male,65Y,Lung,29.18,0.3,0.0,0.0,68.77,1.25,0.49
Hs 274.T,Unknown,Female,66Y,Breast,29.67,0.0,0.6,1.24,67.67,0.53,0.28
Hs 281.T,Unknown,Female,37Y,Breast,58.64,0.98,1.57,2.05,31.57,0.0,5.19
Hs 294T,Melanoma,Male,56Y,Lymph node,27.07,0.39,0.0,0.0,72.19,0.0,0.34
Hs 343.T,Unknown,Female,47Y,Breast,56.3,0.0,1.49,0.52,33.67,1.3,6.72
Hs 445,Unknown,Female,56Y,Lymph node,34.78,0.0,0.48,1.04,63.69,0.01,0.0
Hs 571.T,Ovarian carcinoma,Female,Age unspecified,Ovary,39.76,0.08,0.0,0.95,57.56,0.0,1.65
Hs 578T,Invasive breast carcinoma of no special type,Female,74Y,Breast,34.01,0.0,0.53,1.71,63.73,0.0,0.0
Hs 600.T,Unknown,Male,Age unspecified,Skin,31.02,1.98,0.0,1.7,65.3,0.0,0.0
Hs 604.T,Unknown,Male,21Y,Lymph node,9.79,0.15,0.0,0.0,84.03,4.01,2.02
Hs 606.T,Unknown,Female,44Y,Unknown,59.5,1.87,1.63,0.0,28.96,0.76,7.27
Hs 611.T,Hodgkin lymphoma,Female,48Y,Lymph node,26.44,0.0,0.0,0.5,71.76,0.05,1.24
Hs 616.T,Unknown,Male,16Y,Unknown,27.55,0.47,0.0,0.0,68.82,0.96,2.19
Hs 618.T,Unknown,Female,60Y,Lung,33.72,21.61,2.37,1.07,38.2,1.4,1.63
Hs 675.T,Unknown,Male,Age unspecified,Colon,25.15,0.02,0.0,0.97,70.6,0.0,3.25
Hs 683,Oligodendroglioma,Male,76Y,"Brain, left temporal lobe",30.54,0.33,0.0,0.16,68.26,0.0,0.7
Hs 688(A).T,Unknown,Male,69Y,Skin,31.35,0.0,0.0,0.14,65.65,0.0,2.86
Hs 695T,Amelanotic melanoma,Male,26Y,Lymph node,25.59,0.62,0.0,0.95,71.17,0.69,0.98
Hs 698.T,Unknown,Male,70Y,Connective tissue,3.59,0.0,0.32,3.02,0.0,0.0,93.06
Hs 706.T,Malignancy in giant cell tumor of bone,Female,16Y,Bone,36.71,0.03,2.7,2.51,57.98,0.0,0.07
Hs 729.T,Embryonal rhabdomyosarcoma,Male,74Y,Muscle,37.75,0.0,1.21,2.49,57.58,0.0,0.96
Hs 737.T,Unknown,Female,10Y,Unknown,30.8,0.61,0.0,1.03,67.56,0.0,0.0
Hs 739.T,Unknown,Female,52Y,Breast,0.0,0.15,0.34,79.91,0.0,19.42,0.17
Hs 742.T,Unknown,Female,71Y,Breast,25.22,1.14,0.0,0.0,72.94,0.7,0.0
Hs 746.T,Gastric adenocarcinoma,Male,74Y,"Left leg, skeletal muscle",31.23,0.16,0.0,2.9,65.13,0.0,0.58
Hs 751.T,Unknown,Male,19Y,Lymph node,31.12,0.12,0.33,0.59,67.84,0.0,0.0
Hs 766T,Pancreatic adenocarcinoma,Male,64Y,Lymph node,32.62,0.92,0.11,1.96,62.85,0.0,1.54
Hs 819.T,Unknown,Male,60Y,Bone,29.93,0.0,0.0,1.16,67.05,0.22,1.63
Hs 821.T,Unknown,Female,31Y,Bone,21.62,46.51,1.92,5.29,22.78,0.0,1.88
Hs 822.T,Unknown,Female,9Y,Bone,30.33,21.59,0.59,1.66,43.77,0.0,2.06
Hs 839.T,Unknown,Female,42Y,Skin,31.06,0.18,0.72,0.79,67.25,0.0,0.0
Hs 840.T,Unknown,Male,7Y,Pharynx,21.8,0.34,0.0,0.0,76.29,1.56,0.0
Hs 852.T,Melanoma,Male,53Y,Skin,1.3,0.0,1.89,80.03,0.0,16.58,0.19
Hs 863.T,Unknown,Female,5Y,Bone,26.04,0.35,0.0,4.46,67.06,1.13,0.95
Hs 870.T,Unknown,Male,22Y,Bone,38.77,28.57,5.79,5.49,21.38,0.0,0.01
Hs 888.T,Unknown,Male,20Y,Lung,57.38,0.69,2.45,0.26,29.88,1.64,7.7
Hs 895.T,Unknown,Female,48Y,Skin,29.96,1.02,0.77,0.49,67.7,0.0,0.06
Hs 934.T,Unknown,Female,58Y,Connective tissue,28.98,0.08,0.0,0.36,69.72,0.85,0.0
Hs 936.T,Melanoma,Male,Age unspecified,Skin,34.35,0.0,1.32,3.21,60.44,0.0,0.68
Hs 939.T,Melanoma,Female,24Y,Unknown,27.95,0.0,0.37,2.9,68.28,0.0,0.5
Hs 940.T,Unknown,Male,57Y,Skin,26.75,0.31,0.79,1.11,71.04,0.0,0.0
Hs 944.T,Cutaneous melanoma,Male,51Y,Unknown,31.37,0.0,0.0,2.22,66.41,0.0,0.0
HSC-2,Oral cavity squamous cell carcinoma,Male,69Y,Cervical lymph node,0.07,0.0,0.05,83.8,0.0,14.71,1.36
HSC-3,Tongue squamous cell carcinoma,Male,64Y,Cervical lymph node,1.7,0.0,0.32,85.88,0.0,12.09,0.0
HSC-39,Gastric signet ring cell adenocarcinoma,Male,54Y,Ascites,0.47,0.0,0.43,78.69,1.03,18.67,0.72
HSC-4,Tongue squamous cell carcinoma,Male,64Y,Cervical lymph node,0.12,0.0,0.0,84.74,0.0,13.79,1.33
HT,Diffuse large B-cell lymphoma germinal center B-cell type,Male,70Y,Ascites,30.44,0.0,0.33,0.0,67.93,0.35,0.95
HT-1080,Fibrosarcoma,Male,35Y,"Bone, pelvis, acetabulum",28.94,0.35,0.86,1.36,68.21,0.29,0.0
HT-1197,Recurrent bladder carcinoma,Male,44Y,Urinary bladder,31.77,0.12,0.0,1.86,66.24,0.0,0.0
HT-1376,Bladder carcinoma,Female,58Y,Urinary bladder,58.6,1.4,1.48,1.78,26.62,1.08,9.04
